symbol,date,price
Tomate de Mesa,Jul 1994,0.54
Tomate de Mesa,Aug 1994,1.03
Tomate de Mesa,Sep 1994,1.53
Tomate de Mesa,Oct 1994,1.42
Tomate de Mesa,Nov 1994,1.23
Tomate de Mesa,Dec 1994,1.05
Tomate de Mesa,Jan 1995,0.98
Tomate de Mesa,Feb 1995,0.97
Tomate de Mesa,Mar 1995,1.07
Tomate de Mesa,Apr 1995,1.44
Tomate de Mesa,May 1995,1.34
Tomate de Mesa,Jun 1995,1.23
Tomate de Mesa,Jul 1995,0.92
Tomate de Mesa,Aug 1995,0.93
Tomate de Mesa,Sep 1995,0.9
Tomate de Mesa,Oct 1995,0.91
Tomate de Mesa,Nov 1995,0.91
Tomate de Mesa,Dec 1995,1.02
Tomate de Mesa,Jan 1996,1.08
Tomate de Mesa,Feb 1996,1.09
Tomate de Mesa,Mar 1996,1.05
Tomate de Mesa,Apr 1996,1.1
Tomate de Mesa,May 1996,1.12
Tomate de Mesa,Jun 1996,1.21
Tomate de Mesa,Jul 1996,1.16
Tomate de Mesa,Aug 1996,1.19
Tomate de Mesa,Sep 1996,1.05
Tomate de Mesa,Oct 1996,0.97
Tomate de Mesa,Nov 1996,0.99
Tomate de Mesa,Dec 1996,0.93
Tomate de Mesa,Jan 1997,0.93
Tomate de Mesa,Feb 1997,1.02
Tomate de Mesa,Mar 1997,1.4
Tomate de Mesa,Apr 1997,1.44
Tomate de Mesa,May 1997,1.06
Tomate de Mesa,Jun 1997,0.96
Tomate de Mesa,Jul 1997,0.91
Tomate de Mesa,Aug 1997,1
Tomate de Mesa,Sep 1997,0.98
Tomate de Mesa,Oct 1997,1.03
Tomate de Mesa,Nov 1997,1.09
Tomate de Mesa,Dec 1997,1.19
Tomate de Mesa,Jan 1998,1.19
Tomate de Mesa,Feb 1998,1.05
Tomate de Mesa,Mar 1998,1.17
Tomate de Mesa,Apr 1998,1.35
Tomate de Mesa,May 1998,1.52
Tomate de Mesa,Jun 1998,1.47
Tomate de Mesa,Jul 1998,1.37
Tomate de Mesa,Aug 1998,1.25
Tomate de Mesa,Sep 1998,1.07
Tomate de Mesa,Oct 1998,0.98
Tomate de Mesa,Nov 1998,0.98
Tomate de Mesa,Dec 1998,0.99
Tomate de Mesa,Feb 1999,0.99
Tomate de Mesa,Mar 1999,0.89
Tomate de Mesa,Apr 1999,0.77
Tomate de Mesa,May 1999,0.97
Tomate de Mesa,Jun 1999,0.94
Tomate de Mesa,Jul 1999,1.01
Tomate de Mesa,Aug 1999,1.27
Tomate de Mesa,Sep 1999,1.35
Tomate de Mesa,Oct 1999,1.33
Tomate de Mesa,Nov 1999,1.3
Tomate de Mesa,Dec 1999,1.25
Tomate de Mesa,Jan 2000,1.13
Tomate de Mesa,Feb 2000,1.12
Tomate de Mesa,Mar 2000,1.54
Tomate de Mesa,Apr 2000,1.8
Tomate de Mesa,May 2000,1.36
Tomate de Mesa,Jun 2000,1.17
Tomate de Mesa,Jul 2000,1.1
Tomate de Mesa,Aug 2000,1.19
Tomate de Mesa,Sep 2000,1.17
Tomate de Mesa,Oct 2000,1.26
Tomate de Mesa,Nov 2000,1.46
Tomate de Mesa,Dec 2000,1.28
Tomate de Mesa,Jan 2001,1.16
Tomate de Mesa,Feb 2001,1.2
Tomate de Mesa,Mar 2001,1.17
Tomate de Mesa,Apr 2001,1.55
Tomate de Mesa,May 2001,1.56
Tomate de Mesa,Jun 2001,1.41
Tomate de Mesa,Jul 2001,1.41
Tomate de Mesa,Aug 2001,1.41
Tomate de Mesa,Sep 2001,1.23
Tomate de Mesa,Oct 2001,1.23
Tomate de Mesa,Nov 2001,1.3
Tomate de Mesa,Dec 2001,1.38
Tomate de Mesa,Jan 2002,1.19
Tomate de Mesa,Feb 2002,1.33
Tomate de Mesa,Mar 2002,1.38
Tomate de Mesa,Apr 2002,1.5
Tomate de Mesa,May 2002,1.42
Tomate de Mesa,Jun 2002,1.43
Tomate de Mesa,Jul 2002,1.49
Tomate de Mesa,Aug 2002,1.47
Tomate de Mesa,Sep 2002,1.48
Tomate de Mesa,Oct 2002,1.5
Tomate de Mesa,Nov 2002,1.57
Tomate de Mesa,Dec 2002,1.47
Tomate de Mesa,Jan 2003,1.43
Tomate de Mesa,Feb 2003,1.55
Tomate de Mesa,Mar 2003,2.53
Tomate de Mesa,Apr 2003,2.54
Tomate de Mesa,May 2003,1.95
Tomate de Mesa,Jun 2003,1.57
Tomate de Mesa,Jul 2003,1.56
Tomate de Mesa,Aug 2003,1.4
Tomate de Mesa,Sep 2003,1.41
Tomate de Mesa,Oct 2003,1.37
Tomate de Mesa,Nov 2003,1.37
Tomate de Mesa,Dec 2003,1.56
Tomate de Mesa,Jan 2004,1.72
Tomate de Mesa,Feb 2004,1.59
Tomate de Mesa,Mar 2004,1.62
Tomate de Mesa,Apr 2004,1.52
Tomate de Mesa,May 2004,1.83
Tomate de Mesa,Jun 2004,2.16
Tomate de Mesa,Jul 2004,2.32
Tomate de Mesa,Aug 2004,2.73
Tomate de Mesa,Sep 2004,2.38
Tomate de Mesa,Oct 2004,2.26
Tomate de Mesa,Nov 2004,1.92
Tomate de Mesa,Dec 2004,1.97
Tomate de Mesa,Jan 2005,1.7
Tomate de Mesa,Feb 2005,1.9
Tomate de Mesa,Mar 2005,1.87
Tomate de Mesa,Apr 2005,2.07
Tomate de Mesa,May 2005,2.2
Tomate de Mesa,Jun 2005,2.1
Tomate de Mesa,Jul 2005,2.03
Tomate de Mesa,Aug 2005,1.85
Tomate de Mesa,Sep 2005,1.91
Tomate de Mesa,Oct 2005,2.05
Tomate de Mesa,Nov 2005,2.29
Tomate de Mesa,Dec 2005,2.05
Tomate de Mesa,Jan 2006,1.52
Tomate de Mesa,Feb 2006,1.52
Tomate de Mesa,Mar 2006,1.69
Tomate de Mesa,Apr 2006,2.35
Tomate de Mesa,May 2006,2.03
Tomate de Mesa,Jun 2006,1.83
Tomate de Mesa,Jul 2006,1.72
Tomate de Mesa,Aug 2006,1.66
Tomate de Mesa,Sep 2006,1.72
Tomate de Mesa,Oct 2006,1.81
Tomate de Mesa,Nov 2006,2.01
Tomate de Mesa,Dec 2006,2.01
Tomate de Mesa,Jan 2007,2.34
Tomate de Mesa,Feb 2007,2.8
Tomate de Mesa,Mar 2007,3.28
Tomate de Mesa,Apr 2007,2.88
Tomate de Mesa,May 2007,2.08
Tomate de Mesa,Jun 2007,1.85
Tomate de Mesa,Jul 2007,1.74
Tomate de Mesa,Aug 2007,2.03
Tomate de Mesa,Sep 2007,1.97
Tomate de Mesa,Oct 2007,2.06
Tomate de Mesa,Nov 2007,1.8
Tomate de Mesa,Dec 2007,1.74
Tomate de Mesa,Jan 2008,2.25
Tomate de Mesa,Feb 2008,1.95
Tomate de Mesa,Mar 2008,2.46
Tomate de Mesa,Apr 2008,2.64
Tomate de Mesa,May 2008,2.84
Tomate de Mesa,Jun 2008,2.74
Tomate de Mesa,Jul 2008,3
Tomate de Mesa,Aug 2008,2.13
Tomate de Mesa,Sep 2008,1.96
Tomate de Mesa,Oct 2008,1.71
Tomate de Mesa,Nov 2008,2.3
Tomate de Mesa,Dec 2008,2.72
Tomate de Mesa,Jan 2009,2.58
Tomate de Mesa,Feb 2009,2.44
Tomate de Mesa,Mar 2009,2.76
Tomate de Mesa,Apr 2009,2.77
Tomate de Mesa,May 2009,2.43
Tomate de Mesa,Jun 2009,2.45
Tomate de Mesa,Jul 2009,2.26
Tomate de Mesa,Aug 2009,2.73
Tomate de Mesa,Sep 2009,2.88
Tomate de Mesa,Oct 2009,2.89
Tomate de Mesa,Nov 2009,2.51
Tomate de Mesa,Dec 2009,2.46
Tomate de Mesa,Jan 2010,2.32
Tomate de Mesa,Feb 2010,2.81
Tomate de Mesa,Mar 2010,4.25
Tomate de Mesa,Apr 2010,4.08
Tomate de Mesa,May 2010,3.1
Tomate de Mesa,Jun 2010,2.61
Tomate de Mesa,Jul 2010,2.08
Tomate de Mesa,Aug 2010,2.1
Tomate de Mesa,Sep 2010,2.05
Tomate de Mesa,Oct 2010,2.17
Tomate de Mesa,Nov 2010,2.03
Tomate de Mesa,Dec 2010,2.26
Tomate de Mesa,Jan 2011,2.54
Tomate de Mesa,Feb 2011,3.04
Tomate de Mesa,Mar 2011,3.91
Tomate de Mesa,Apr 2011,3.46
Tomate de Mesa,May 2011,3.33
Tomate de Mesa,Jun 2011,3.65
Tomate de Mesa,Jul 2011,3.14
Tomate de Mesa,Aug 2011,3.03
Tomate de Mesa,Sep 2011,3.05
Tomate de Mesa,Oct 2011,2.89
Tomate de Mesa,Nov 2011,3.04
Tomate de Mesa,Dec 2011,2.95
Tomate de Mesa,Jan 2012,3.28
Tomate de Mesa,Feb 2012,2.87
Tomate de Mesa,Mar 2012,2.73
Tomate de Mesa,Apr 2012,2.58
Tomate de Mesa,May 2012,2.94
Tomate de Mesa,Jun 2012,3.54
Tomate de Mesa,Jul 2012,5.08
Tomate de Mesa,Aug 2012,5.61
Tomate de Mesa,Sep 2012,4.62
Tomate de Mesa,Oct 2012,3.9
Tomate de Mesa,Nov 2012,3.29
Tomate de Mesa,Dec 2012,3.44
Tomate de Mesa,Jan 2013,5
Tomate de Mesa,Feb 2013,5.65
Tomate de Mesa,Mar 2013,6.4
Tomate de Mesa,Apr 2013,5.92
Tomate de Mesa,May 2013,5.31
Tomate de Mesa,Jun 2013,5.54
Tomate de Mesa,Jul 2013,3.5
Tomate de Mesa,Aug 2013,2.98
Tomate de Mesa,Sep 2013,2.91
Tomate de Mesa,Oct 2013,3.09
Tomate de Mesa,Nov 2013,3.52
Tomate de Mesa,Dec 2013,3.97
Tomate de Mesa,Jan 2014,3.45
Tomate de Mesa,Feb 2014,3.45
Tomate de Mesa,Mar 2014,5.42
Tomate de Mesa,Apr 2014,5.07
